section,triple,x1,x2,y1,final3,final2
Cp_K1,1,1,0,0.666666667,1,0
Cp_Chr,0,0.5,0.5,1,1,1
Cp_K2,1,1,0,0.5,1,0
Cp_EtInTerra,1,1,0,0.125,1,0
Cp_QuiTollis,0,0.461538462,0.153846154,1,1,1
Cp_Patrem,1,0.846153846,0.153846154,0.384615385,1,1
Cp_EtIncarnatus,0,0.333333333,0.333333333,0.916666667,0,1
Cp_Sanctus,1,0.8,0.2,0.6,1,1
Cp_Pleni,1,1,0,0.666666667,1,1
Cp_Osanna,1,1,0,0.5,1,0
Cp_Ben,0,0.125,0.5,0.875,0,1
Cp_A1,1,0.666666667,0.166666667,0.333333333,1,0
Cp_A2,1,1,0,0.66666667,1,0
Cp_A3,0,0.5,0.5,1,1,1
CT_K1,1,1,0,1,1,1
CT_Chr,0,0,0.5,1,0,1
CT_K2,1,1,0,0.5,1,0
CT_EtInTerra,1,0.833333333,0.166666667,0.5,1,1
CT_QuiTollis,0,0.5,0,0.666666667,1,1
CT_Patrem,1,0.75,0,0.25,0,1
CT_EtIncarnatus,0,0,0.333333333,1,0,1
CT_EtIterum,0,0.571428571,0.285714286,0.714285714,0,1
CT_EtVitam,1,1,0,0.666666667,1,1
CT_Sanctus,1,0.666666667,0,0.5,1,0
CT_Pleni,1,0.8,0,0.2,1,0
CT_Osanna,0,0,0.5,1,0,1
CT_Ben,0,0,1,0.5,0,0
CT_QuiVenit,0,0.5,0.166666667,0.833333333,0,1
CT_A1,1,0.8,0.2,0.2,1,0
CT_A2,0,0.666666667,0.333333333,1,0,1
Dpp_K1,1,1,0,0.75,1,1
Dpp_Chr,1,1,0,1,1,1
Dpp_K2,1,0.857142857,0,0.571428571,1,1
Dpp_EtInTerra,1,0.916666667,0.083333333,0.083333333,1,0
Dpp_QuiTollis,0,0.222222222,0.333333333,0.777777778,0,0
Dpp_CumSancto,1,0.75,0,0.5,1,1
Dpp_Patrem,1,0.769230769,0.153846154,0.384615385,1,0
Dpp_EtIncarnatus,0,0.428571429,0.357142857,0.857142857,1,1
Dpp_EtUnam,1,1,0,0.6,1,1
Dpp_Sanctus,1,0.857142857,0,0.428571429,1,0
Dpp_Pleni,1,1,0,0.2,1,0
Dpp_Osanna,0,0,0.8,1,0,1
Dpp_Ben,0,1,0,1,1,1
Dpp_QuiVenit,0,0.2,0.2,0.4,0,1
Dpp_A1,1,1,0,0.6,1,1
Dpp_A2,0,0.4,0.4,1,1,1
Dpp_A3,1,0.625,0.25,0.375,1,0
Ead_K1,1,1,0,0.4,1,0
Ead_Chr,0,0,0.8,1,1,1
Ead_K2,1,1,0,0.6,1,1
Ead_EtInTerra,1,0.666666667,0,0.333333333,1,0
Ead_QuiTollis,0,0.5,0.166666667,0.833333333,0,1
Ead_Patrem,1,0.777777778,0.111111111,0.444444444,1,1
Ead_EtRes,0,0.461538462,0.307692308,0.615384615,1,1
Ead_Sanctus,1,1,0,0.2,1,0
Ead_Pleni,1,1,0,0.333333333,1,1
Ead_Osanna,0,0.571428571,0.428571429,0.714285714,0,1
Ead_Ben,0,0.666666667,0.333333333,0.5,1,1
Ead_A1,1,0.75,0,0.5,1,0
Ead_A2,1,0.666666667,0,1,0,1
Ead_A3,0,0.5,0.5,1,0,1
Lh_K1,1,1,0,0.333333333,1,1
Lh_K2,1,1,0,0.5,1,1
Lh_EtInTerra,1,1,0,0.777777778,1,1
Lh_QuiTollis,0,0.5,0.166666667,1,0,1
Lh_Patrem,1,1,0,0.222222222,1,0
Lh_EtUnam,1,0.8,0.2,0.2,1,0
Lh_Sanctus,1,1,0,0.333333333,1,0
Lh_Pleni,1,0.4,0.2,1,0,1
Lh_Osanna,0,0.8,0,1,1,1
Lh_Ben,0,0.333333333,0.666666667,0.333333333,1,1
Lh_A1,1,1,0,0,1,0
Lh_A2,1,0.75,0.25,0.25,0,0
Lh_A3,0,0.833333333,0,1,1,1
MaM_K1,1,0.666666667,0,0.666666667,1,0
MaM_Chr,1,0.5,0,0.5,1,0
MaM_K2,1,0.75,0.25,0.25,1,0
MaM_EtInTerra,1,0.5,0,0.375,1,0
MaM_DomFili,1,1,0,0.5,1,1
MaM_QuiTollis,0,0.5,0.333333333,0.833333333,1,1
MM_K1,1,0.5,0,0.5,0,0
MM_Chr,0,1,0,1,1,1
MM_K2,1,1,0,0.666666667,1,0
MM_EtInTerra,1,0.933333333,0,0.8,1,1
MM_QuiTollis,0,0.666666667,0,0.833333333,1,1
MM_Patrem,1,0.846153846,0.153846154,0.461538462,1,0
MM_EtIncarnatus,1,1,0,1,1,1
MM_Cruc,1,0.666666667,0.333333333,0.333333333,0,1
MM_EtRes,0,0.428571429,0.142857143,1,1,1
MM_Sanc,1,0.857142857,0,0.428571429,1,0
MM_Pleni,1,0.666666667,0.333333333,1,0,1
MM_Osanna,1,0.6,0.2,0.6,0,1
MM_Ben,0,0,1,1,0,1
MM_QuiVenit,0,0,1,1,0,1
MM_A1,1,1,0,0.6,1,0
MM_A2,1,0.777777778,0.222222222,0.666666667,1,1
MM_A3,0,0,0.666666667,1,0,1
Vil_Patrem,1,0.454545455,0.272727273,0.636363636,0,0
Vil_EtIncarnatus,0,1,0,0.666666667,1,1
Vil_Cruc,0,0.25,0.333333333,0.666666667,0,1
